keys,en,hu
COLOR_RED,red,piros
COLOR_BLUE,blue,kék
COLOR_GREEN,green,zöld
COLOR_ORANGE,orange,narancssárga
COLOR_VIOLET,violet,ibolya
COLOR_YELLOW,yellow,sárga
COLOR_PURPLE,purple,lila
COLOR_TEAL,teal,kékeszöld
COLOR_BROWN,brown,barna
COLOR_GRAY,gray,szürke
COLOR_BLACK,black,fekete
COLOR_WHITE,white,fehér
COLOR_TRANS,transparent,átlátszó
COLOR_MULTI,multicolored,többszínű
COLOR_DARK,dark,sötét
SHAPE_CIRCLE,circle,kör
SHAPE_TRIANGLE,triangle,háromszög
SHAPE_SQUARE,square,négyzet
SHAPE_RECTANGLE,rectangle,téglalap
SHAPE_OVAL,oval,ovális
SHAPE_OBLONG,oblong,hosszúkás
SHAPE_SHORT,short,rövid
SHAPE_HIGH,high,magas
SIZE_TINY,tiny,pici
SIZE_SMALL,small,kicsi
SIZE_MEDIUM,medium-sized,közepes méretű
SIZE_BIG,big,nagy
SIZE_LARGE,large,óriási
PATTERN_SPOTTED,spotted,foltos
SMELL_FRAGRANT,fragrant,kellemes
SMELL_WOODY,woody,fa
SMELL_MINTY,minty,menta
SMELL_SWEET,sweet,édes
SMELL_CHEMICAL,chemical,vegyszer
SMELL_POPCORN,popcorn,popcorn
SMELL_LEMON,lemon,citrom
SMELL_FRUITY,fruity,gyümölcsös
SMELL_PUNGENT,pungent,"csípős, éles"
SMELL_DECAYED,decayed,rohadás
SMELL_NO_SMELL,no smell,szagtalan
SMELL_SALTY,salty,sós
SMELL_SMELLY,smelly,büdös
SMELL_DUSTY,dusty,dohos
SMELL_GRASSY,grassy,fű
SMELL_IRONY,irony,vas
TASTE_BITTER,bitter,keserű
TASTE_SWEET,sweet,édes
TASTE_SOUR,sour,savanyú
TASTE_SALTY,salty,sós
TASTE_UMAMI,umami (savory),umami
TASTE_SPICY,spicy,fűszeres
TASTE_TART,tart,savanykás
TASTE_HERBAL,herbal,gyógynövényes
TASTE_FLORAL,floral,virágos
TASTE_EARTHY,earthy,földes
TASTE_FRUITY,fruity,gyümölcsös
TASTE_NUTTY,nutty,diós
TASTE_SMOKY,smoky,füstös
TASTE_TANGY,tangy,pikáns
TASTE_CREAMY,creamy,krémes
TASTE_CITRUSY,citrusy,citrusos
TASTE_PEPPERY,peppery,borsos
TASTE_ZESTY,zesty,frissítő
TASTE_BUTTERY,buttery,vajas
TASTE_NO_TASTE,no taste,ízetlen
TASTE_DONT_KNOW,we don't taste it,nem szoktuk kóstolgatni
TASTE_OILY,oily,olajos
TASTE_MEATY,meaty,húsos
TASTE_JUICY,juicy,zamatos
TOUCH_SOFT,soft,puha
TOUCH_SMOOTH,smooth,sima
TOUCH_PRICKLY,prickly,szúrós
TOUCH_COARSE,coarse,durva
TOUCH_VELVETY,velvety,bársonyos
TOUCH_BUMPY,bumpy,göröngyös
TOUCH_SPONGY,spongy,szivacsos
TOUCH_WET,wet,nedves
TOUCH_STICKY,sticky,ragacsos
TOUCH_COLD,cold,hideg
TOUCH_WARM,warm,meleg
TOUCH_SLIMY,slimy,nyálkás
TOUCH_FUZZY,fuzzy,pelyhes
TOUCH_NOTHING,nothing special,semmi különös
TOUCH_HARD,hard,kemény
TOUCH_HOT,hot,forró
TOUCH_GRIPPY,grippy,tapadós
UPGRADE_T1_HEAL,+1 energy,+1 energia
UPGRADE_T1_MS_BONUS,move faster,gyorsabb mozgás
UPGRADE_T1_HEARING_CD,-5% hearing ⏳,-5% hallás ⏳
UPGRADE_T1_SIGHT_CD,-5% sight ⏳,-5% látás ⏳
UPGRADE_T1_SMELL_CD,-5% smell ⏳,-5% szaglás ⏳
UPGRADE_T1_TOUCH_CD,-5% touch ⏳,-5% érintés ⏳
UPGRADE_T1_TASTE_CD,-5% taste ⏳,-5% ízlelés ⏳
UPGRADE_T1_HINT_CHANCE,+2.5% chance for helpful hints,+2.5% esély hasznos tényekre
UPGRADE_T1_TIME_BONUS,+30s time,+30 mp idő
UPGRADE_T2_HEARING_CD,-7.5% hearing ⏳,-7.5% hallás ⏳
UPGRADE_T2_SIGHT_CD,-7.5% sight ⏳,-7.5% látás ⏳
UPGRADE_T2_SMELL_CD,-7.5% smell ⏳,-7.5% szaglás ⏳
UPGRADE_T2_TOUCH_CD,-7.5% touch ⏳,-7.5% érintés ⏳
UPGRADE_T2_TASTE_CD,-7.5% taste ⏳,-7.5% ízlelés ⏳
UPGRADE_T2_HINT_CHANCE,+5% chance for helpful hints,+5% esély hasznos tényekre
UPGRADE_T2_TIME_BONUS,+60s time,+60 mp idő
UPGRADE_T2_UPGRADE_SLOT,+1 upgrade choice,+1 fejlesztési döntés
UPGRADE_T2_ALL_CD,-5% ⏳ on all senses,-5% ⏳ az összes érzékre
UPGRADE_T2_HEAL,+2 energy,+2 energia
UPGRADE_T2_MAXHP,+1 max energy,+1 max energia
UPGRADE_T3_FULL_HEAL,restore energy,teljes feltöltés
UPGRADE_T3_TIME_BONUS,+90s time,+90 mp idő
UPGRADE_T3_ALL_CD,-7.5% ⏳ on all senses,-7.5% ⏳ az összes érzékre
